

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
206.163  000.192  000.192: require('nvim-treesitter.highlight')
207.030  000.349  000.349: require('editorconfig')
207.055  000.021  000.021: require('vim.fs')
210.786  015.748  012.481: sourcing /home/anon/.local/share/nvim/sessions/%home%anon%.config%nvim.vim
210.996  000.384: VimEnter autocommands
211.020  000.024: UIEnter autocommands
211.022  000.002: before starting main loop
211.521  000.499: first screen update
211.523  000.002: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.144  000.132: event init
000.269  000.126: early init
000.368  000.098: locale set
000.435  000.067: init first window
000.896  000.461: inits 1
000.912  000.015: window checked
000.915  000.003: parsing arguments
001.473  000.066  000.066: require('vim.shared')
001.605  000.051  000.051: require('vim._meta')
001.607  000.130  000.079: require('vim._editor')
001.609  000.243  000.047: require('vim._init_packages')
001.610  000.452: init lua interpreter
002.135  000.525: expanding arguments
002.207  000.071: inits 2
002.596  000.389: init highlight


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
000.165  000.155: event init
000.269  000.104: early init
000.352  000.082: locale set
000.424  000.072: init first window
000.822  000.397: inits 1
000.845  000.023: window checked
000.847  000.002: parsing arguments
001.516  000.084  000.084: require('vim.shared')
001.699  000.065  000.065: require('vim._meta')
001.701  000.180  000.115: require('vim._editor')
001.702  000.322  000.058: require('vim._init_packages')
001.704  000.535: init lua interpreter
001.779  000.075: expanding arguments
001.821  000.043: inits 2
002.204  000.383: init highlight
002.206  000.002: waiting for UI
002.332  000.125: done waiting for UI
002.336  000.005: clear screen
002.519  000.183: init default mappings & autocommands
004.134  000.060  000.060: sourcing /snap/nvim/2809/usr/share/nvim/runtime/ftplugin.vim
004.381  000.032  000.032: sourcing /snap/nvim/2809/usr/share/nvim/runtime/indent.vim
007.775  000.472  000.472: require('plenary.bit')
008.121  000.341  000.341: require('plenary.functional')
008.167  000.022  000.022: require('ffi')
008.190  001.824  000.989: require('plenary.path')
009.384  000.895  000.895: require('plenary.job')
009.395  001.202  000.307: require('harpoon.utils')
010.093  000.007  000.007: require('vim.F')
010.130  000.509  000.501: require('plenary.log')
010.217  000.819  000.311: require('harpoon.dev')
010.401  000.132  000.132: require('vim.inspect')
010.697  005.887  001.909: require('harpoon')
